STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2011,,89.77,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2012,,89.56,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2013,,90.65,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2014,,96.47,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2015,,100.00,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2016,,105.40,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2017,,114.80,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2018,,123.18,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2019,,131.61,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2020,,141.18,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2021,,163.84,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2022,,195.05,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2023,,214.20,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,I15_A_AVG,"Annual average index, 2015=100",LT,Lithuania,2024,,235.02,,,,,
