STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,estruct,Earnings structure,ecase,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2011,,5401.3,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2012,,5635.73,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2013,,5954.89,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2014,,6284.47,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2015,,6651.85,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2016,,7217.25,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2017,,7897.69,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2018,,8690.66,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2019,,9794.92,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2020,,10787.57,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2021,,11798.21,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2022,,13297.64,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2023,,14783.41,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2024,,15909.06,,,,,
