STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ppp,Purchasing power parities indicator,ppp_cat18,Analytical categories for purchasing power parities (PPPs) calculation (based on COICOP18),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2014,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2015,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2016,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2017,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2018,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2019,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2020,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2021,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2022,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2023,,100,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,EU27_2020,European Union - 27 countries (from 2020),2024,,100,,,,,
