STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_il,Income and living conditions indicator,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2010,,14.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2011,,13.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2012,,11.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2013,,13.1,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2014,,11.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2015,,14.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2016,,15.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2017,,16.1,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2018,,15.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2019,,13.7,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2020,,12.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2021,,12.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2022,,12.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD50,At risk of poverty rate (cut-off point: 50% of median equivalised income),T,Total,TOTAL,Total,LT,Lithuania,2023,,13.0,,,,,
