"Social support"
"% of population aged 15+"
"Category","Social support"
"Iceland",97.9361329882
"Finland",96.7351259488
"Denmark",95.3014878173
"New Zealand",95.2381826177
"Slovak Rep.",94.8975907718
"Slovenia",94.7545209559
"Norway",94.1929827814
"Czechia",94.1591853132
"Hungary",93.9115703893
"Sweden",93.8173603759
"Estonia",93.4887706102
"Israel",93.3354662083
"Spain",93.1459859007
"Australia",92.9694706655
"Latvia",92.9118950524
"Netherlands",92.8621148364
"Canada",92.7134402267
"Switzerland",91.9178578661
"United States",91.7846531329
"Belgium",90.8298792149
"France",90.77776803
"Poland",90.6514684843
"Ireland",90.506765089
"Germany",89.4213436483
"Japan",89.0437500949
"Austria",88.6930648755
"Chile",88.3515295569
"Italy",88.1114865579
"United Kingdom",88.0726183365
"Luxembourg",87.5474810312
"Portugal",87.2113910813
"Costa Rica",86.4210321799
"Lithuania",85.6874553675
"Greece",83.3448182558
"Colombia",81.9314673478
"Türkiye",80.3521333275
"Korea",80.2707556331
"Mexico",79.7800923281
